date,category,product,broadcast_time,sales,orders,host
2026-04-01,패션,럭셔리 핸드백,21:35,43830506,283,신정호
2026-04-01,식품,초콜릿 선물세트,21:43,31469056,292,이준호
2026-04-01,패션,슬림핏 청바지,21:53,44037984,270,이준호
2026-04-01,주방,무선 믹서기,20:12,47827660,159,박보검
2026-04-01,건강,비타민 종합제,21:08,14678006,50,신정호
2026-04-02,패션,슬림핏 청바지,21:36,20762571,185,원더우먼
2026-04-02,패션,슬림핏 청바지,20:41,6322466,241,최지우
2026-04-02,패션,슬림핏 청바지,21:04,13571926,187,신정호
2026-04-02,주방,논스틱 팬,20:31,11890841,287,이지은
2026-04-02,건강,홍삼 에너지,19:12,10058975,59,장나라
2026-04-03,주방,토스터,21:05,16031457,239,원더우먼
2026-04-03,식품,초콜릿 선물세트,21:27,21732118,77,이지은
2026-04-03,주방,토스터,21:46,24326187,175,원더우먼
2026-04-03,패션,무지 티셔츠,21:34,15661886,212,이지은
2026-04-03,주방,전기 포트,19:08,12479094,259,장나라
2026-04-04,식품,유기농 꿀,20:07,20160734,128,박보검
2026-04-04,건강,오메가3,21:25,11332102,115,장나라
2026-04-04,건강,콜라겐 파우더,21:48,24251007,279,이준호
2026-04-04,주방,스텐 냄비 세트,19:30,9679840,95,원더우먼
2026-04-04,패션,럭셔리 핸드백,19:27,25889550,140,이지은
2026-04-05,식품,와인 선물세트,21:26,25992641,146,최지우
2026-04-05,가전,미니 냉장고,19:59,12044060,198,원더우먼
2026-04-05,패션,무지 티셔츠,19:09,13214966,231,원더우먼
2026-04-05,패션,럭셔리 핸드백,19:29,22863995,93,원더우먼
2026-04-05,주방,논스틱 팬,20:05,16272792,152,이지은
2026-04-06,건강,오메가3,19:11,9622311,161,이준호
2026-04-06,가전,무선 청소기,19:50,18288711,231,이지은
2026-04-06,주방,토스터,19:50,9017641,83,이지은
2026-04-06,가전,무선 청소기,21:42,7703530,207,김혜수
2026-04-06,식품,프리미엄 올리브유,21:21,14493819,297,박보검
2026-04-07,건강,콜라겐 파우더,21:14,5281936,200,원더우먼
2026-04-07,식품,유기농 꿀,20:10,17360607,137,김혜수
2026-04-07,주방,전기 포트,20:55,17483351,123,최지우
2026-04-07,건강,루테인 영양제,19:30,7835080,178,이준호
2026-04-07,식품,초콜릿 선물세트,19:20,12078154,252,이지은
2026-04-08,가전,무선 이어폰,21:17,10520585,261,이준호
2026-04-08,주방,전기 포트,21:23,8291623,116,원더우먼
2026-04-08,건강,오메가3,20:38,15624201,254,신정호
2026-04-08,패션,캐시미어 스웨터,21:42,5935510,200,최지우
2026-04-08,건강,오메가3,19:19,24886704,65,신정호
2026-04-09,가전,공기청정기,21:46,7857138,148,박보검
2026-04-09,식품,와인 선물세트,21:47,20518798,107,이지은
2026-04-09,패션,캐시미어 스웨터,21:41,13047216,285,신정호
2026-04-09,가전,공기청정기,21:43,10686478,172,김혜수
2026-04-09,식품,와인 선물세트,20:53,20305390,189,장나라
2026-04-10,패션,무지 티셔츠,19:58,20821881,76,원더우먼
2026-04-10,가전,무선 청소기,19:26,9463670,107,박보검
2026-04-10,패션,캐시미어 스웨터,21:17,7632917,162,신정호
2026-04-10,식품,유기농 꿀,21:39,20491412,253,이준호
2026-04-10,패션,캐시미어 스웨터,21:49,6194919,150,이준호
2026-04-11,식품,프리미엄 카레,19:36,9962312,216,이준호
2026-04-11,주방,논스틱 팬,19:04,23374738,273,신정호
2026-04-11,패션,겨울 부츠,20:59,21875263,293,원더우먼
2026-04-11,건강,콜라겐 파우더,20:36,22937400,256,박보검
2026-04-11,건강,홍삼 에너지,19:17,14408711,226,신정호
2026-04-12,패션,무지 티셔츠,20:53,24232783,60,이지은
2026-04-12,가전,무선 이어폰,20:41,25466273,259,이준호
2026-04-12,식품,유기농 꿀,20:34,17826875,134,이지은
2026-04-12,주방,토스터,21:32,20904561,254,김혜수
2026-04-12,주방,무선 믹서기,20:54,20109660,225,박보검
2026-04-13,식품,유기농 꿀,19:25,6179169,252,이지은
2026-04-13,가전,무선 청소기,20:31,19877112,293,장나라
2026-04-13,가전,무선 청소기,20:42,7262072,261,김혜수
2026-04-13,건강,콜라겐 파우더,21:00,20056632,230,신정호
2026-04-13,패션,슬림핏 청바지,20:30,18722491,194,이준호
2026-04-14,식품,프리미엄 올리브유,19:24,9905899,173,신정호
2026-04-14,식품,유기농 꿀,19:10,22238684,270,김혜수
2026-04-14,가전,무선 청소기,19:41,13505677,103,장나라
2026-04-14,패션,겨울 부츠,20:55,6029840,224,최지우
2026-04-14,가전,식기세척기,19:39,12766392,254,이지은
2026-04-15,가전,미니 냉장고,21:02,24012022,229,장나라
